title,text
Vitamin E (Alpha-Tocopherol),"Vitamin E is used as a dietary supplement when the amount of vitamin E taken in the diet is not enough. People most at risk for vitamin E deficiency are those with a limited variety of food in their diet and people with Crohn's disease (a condition in which the body attacks the lining of the digestive tract, causing pain, diarrhea, weight loss, and fever), cystic fibrosis (an inborn disease that causes problems with breathing, digestion, and reproduction), or who have gastrointestinal (GI) malabsorption problems (problems absorbing food). Vitamin E is also used to treat vitamin E deficiency in those at risk due to certain diseases and conditions. Vitamin E is in a class of medications called antioxidants. It is needed by the body to support the immune system and for blood clotting. It works as an antioxidant to protect your cells against free radicals."
Gilteritinib,Gilteritinib is used to treat a certain type of acute myeloid leukemia (AML) that has worsened or returned after treatment with other chemotherapy medications. Gilteritinib is in a class of medications called kinase inhibitors. It works by blocking the action of a certain naturally occurring substance that may be needed to help cancer cells multiply.
Nifurtimox,Nifurtimox is used to treat Chagas disease (an infection caused by a parasite) in children from birth to 18 years old who weigh at least 5.5 pounds (2.5 kg). Nifurtimox is in a class of medications called antiprotozoals. It works by killing the organism that can cause Chagas disease.
Amphetamine,"Amphetamine (Adzenys ER, Adzenys XR, Dyanavel XR, Evekeo, Evekeo ODT, others) is used as part of a treatment program to control symptoms of attention deficit hyperactivity disorder (ADHD; more difficulty focusing, controlling actions, and remaining still or quiet than other people who are the same age) in adults and children. Amphetamine (Evekeo, others) is also used to treat narcolepsy (a sleep disorder that causes excessive daytime sleepiness and sudden attacks of sleep). Amphetamine (Evekeo, others) is also used for a limited period of time (a few weeks) along with a reduced calorie diet and an exercise plan for weight loss in obese people unable to lose weight. Amphetamine is in a class of medications called central nervous system stimulants. It works by changing the amounts of certain natural substances in the brain."
Pimecrolimus Topical,"Pimecrolimus is used to control the symptoms of eczema (atopic dermatitis; a skin disease that causes the skin to be dry and itchy and to sometimes develop red, scaly rashes). Pimecrolimus is only used to treat patients who cannot use other medications for eczema, or whose symptoms were not controlled by other medications. Pimecrolimus is in a class of medications called topical calcineurin inhibitors. It works by stopping the immune system from producing substances that may cause eczema."
Molnupiravir,Molnupiravir is used to treat coronavirus disease 2019 (COVID-19 infection) caused by the SARS-CoV-2 virus in adults who have mild to moderate symptoms and are at risk of severe disease that could result in hospitalization or death when other treatments are either not available or cannot be used. Molnupiravir is in a class of medications called antivirals. It works by stopping the virus from spreading in the body..
Doxycycline,"Doxycycline is used to treat a variety of infections caused by certain types of bacteria. Doxycycline is also used to treat or prevent anthrax (a serious infection that may be spread on purpose as part of a bioterror attack) in people who may have been exposed to anthrax in the air and to treat plague and tuleramia (serious infections that may be spread on purpose as part of a bioterror attack). It is also used to prevent malaria.  Doxycycline is also used along with other medications to treat acne and rosacea (a skin disease that causes redness, flushing, and pimples on the face).  Doxycycline (Oracea) is used only to treat pimples and bumps caused by rosacea. Doxycycline is in a class of medications called tetracycline antibiotics. It works to treat infections by preventing the growth and spread of bacteria. It works to treat acne by killing the bacteria that infects pores and decreasing a certain natural oily substance that causes acne. It works to treat rosacea by decreasing the inflammation that causes this condition."
Estrogen and Bazedoxifene,"Estrogen and bazedoxifene tablets are used to treat hot flashes (sudden feelings of warmth, especially in the face, neck, and chest) in women who are experiencing menopause (stage of life when menstrual periods become less frequent and stop and women may experience other symptoms and body changes). Estrogen and bazedoxifene tablets are also used to prevent osteoporosis (condition in which the bones become thin and weak and break easily) in women who have undergone menopause. Estrogen is in a class of medications called hormones and bazedoxifene is in a class of medications called estrogen agonist–antagonists. Estrogen works by replacing estrogen that is normally produced by the body. Bazedoxifene is used to block the action of estrogen on the lining of the uterus, decreasing the risk of overgrowth that may lead to cancer."
Mitapivat,Mitapivat is used to treat hemolytic anemia (a blood disorder that occurs when red blood cells are destroyed faster than they can be made in the body) in people with pyruvate kinase deficiency. Mitapivat is in a class of medications called pyruvate kinase activators. It works by increasing pyruvate kinase available to increase red blood cell (RBC) lifespan.
Pembrolizumab Injection,"Pembrolizumab injection is used alone or in combination with other chemotherapy medications to treat certain types of melanoma (a type of skin cancer), Merkel cell carcinoma (MCC; a type of skin cancer), and cutaneous squamous cell carcinoma (CSCC; skin cancer). It is also used to prevent the return of melanoma after surgery. Pembrolizumab injection is also used alone and/or in combination with other chemotherapy medications to treat certain types of lung cancer (non-small-cell lung cancer; NSCLC), head and neck cancer, Hodgkin's lymphoma (Hodgkin's disease), primary mediastinal B-cell lymphoma (PMBCL; non-Hodgkin lymphoma), urothelial cancer (cancer of the lining of the bladder and other parts of the urinary tract), bladder cancer, colorectal cancer (cancer that begins in the large intestine), gastric cancer (cancer of the stomach), esophageal cancer (cancer of the tube that connects your throat to your stomach), cervical cancer (cancer that begins in the opening of the uterus [womb]), cancer of the endometrium (lining of the uterus), hepatocellular carcinoma (HCC; a type of liver cancer), biliary tract cancer (BTC; cancer in the organs and ducts that make and store bile, the liquid made by the liver), renal cell carcinoma (RCC, a type of cancer that begins in the kidneys), breast cancer, and certain other solid tumors. Pembrolizumab injection is in a class of medications called monoclonal antibodies. It works by helping your immune system to slow or stop the growth of cancer cells."
